Name,Roll_no,Maths,Physics,Computer,Total
Ayaan,1,71,91,78,240
Fatima,2,91,77,80,248
Hassan,3,72,94,78,244
Ayesha,4,94,72,78,244
Bilal,5,76,95,77,248
Zara,6,91,88,89,268
Saad,7,80,90,89,259
Hina,8,89,78,87,254
Imran,9,82,95,81,258
Mehwish,10,95,95,86,276
Daniyal,11,90,74,88,252
Noor,12,78,83,83,244
Hamza,13,72,72,79,223
Aleena,14,73,81,85,239
Fahad,15,83,80,79,242
Sana,16,85,75,84,244
Asad,17,73,95,77,245
Mahnoor,18,85,83,87,255
Usman,19,87,73,87,247
Amna,20,93,82,87,262
Zain,21,73,71,78,222
Maryam,22,81,73,84,238
Adnan,23,86,77,78,241
Laiba,24,70,81,89,240
Kashif,25,82,85,89,256
Nimra,26,73,77,89,239
Salman,27,84,92,86,262
Hira,28,73,75,84,232
Talha,29,92,70,80,242
Iqra,30,91,87,83,261
Waleed,31,91,87,80,258
Anum,32,80,76,83,239
Noman,33,85,89,83,257
Sehrish,34,79,92,88,259
Taha,35,81,87,80,248
Rabia,36,85,90,82,257
Junaid,37,90,87,86,263
Fiza,38,94,72,89,255
Ali,39,79,70,82,231
Kiran,40,79,89,77,245
Ahmed,41,86,83,85,254
Maira,42,70,73,80,223
Danish,43,91,95,81,267
Aimen,44,86,89,86,261
Farhan,45,78,77,81,236
Samina,46,80,92,84,256
Moiz,47,84,90,89,263
Sidra,48,87,87,78,252
Hammad,49,93,73,79,245
Alishba,50,92,84,80,256
Zeeshan,51,81,72,83,236
Mariya,52,83,95,82,260
Ibrahim,53,72,79,88,239
Mahira,54,82,72,84,238
Arsalan,55,81,94,78,253
Beenish,56,87,74,79,240
Rehan,57,81,94,82,257
Sadaf,58,79,82,79,240
Kamran,59,87,94,89,270
Shiza,60,74,78,87,239
Naveed,61,71,87,78,236
Tehreem,62,92,84,89,265
Rizwan,63,86,80,77,243
Sumbal,64,83,75,82,240
Umar,65,71,95,89,255
Humaira,66,92,88,77,257
Shahid,67,84,93,88,265
Arooba,68,70,77,77,224
Waqar,69,95,88,80,263
Maham,70,73,84,79,236
Obaid,71,83,95,86,264
Hafsa,72,84,71,81,236
Furqan,73,93,81,88,262
Nida,74,94,71,78,243
Irfan,75,91,80,82,253
Bushra,76,70,83,78,231
Tariq,77,76,76,87,239
Sanaullah,78,91,75,83,249
Hafeez,79,75,75,80,230
Mehwish,80,86,77,88,251
Sheraz,81,86,83,87,256
Shagufta,82,82,91,77,250
Jawad,83,83,80,82,245
Iqra,84,82,76,82,240
Mustafa,85,83,89,87,259
Nashit,86,77,77,87,241
Samina,87,81,87,80,248
Raheel,88,74,80,87,241
Sadia,89,94,88,87,269
Ayaz,90,91,71,78,240
Sehar,91,89,87,85,261
Afshan,92,94,77,77,248
Khurram,93,90,75,83,248
Muneeb,94,77,93,79,249
Farzana,95,91,88,89,268
Yasir,96,94,90,82,266
Lubna,97,91,90,87,268
Shahbaz,98,91,85,82,258
Rukhsar,99,82,88,88,258
Fahima,100,90,92,88,270
